SMAPLE_RNA	nr_reads
RNA015584	29374431
RNA015585	37808146
RNA015586	38681817
RNA015587	37158605
RNA015588	41593659
RNA015589	28735590
RNA015590	34474524
RNA015591	29177592
RNA015592	36892255
RNA015593	26200121
RNA015594	31633463
RNA015595	34292150
RNA015596	32740325
RNA015597	39917338
RNA015598	16442025
RNA015599	37698287
RNA015600	31451005
RNA015601	38080342
RNA015602	35119332
RNA015603	31529181
RNA015604	33898803
RNA015605	35179544
RNA015606	39999108
RNA015607	35593682
RNA015715	29052240
RNA015716	35941332
RNA015717	31386079
RNA015718	38133394
RNA015719	32878031
RNA015720	31869444
RNA015721	37159392
RNA015722	35407726
RNA015723	32571065
RNA015724	29492034
RNA015725	38026053
RNA015726	35946400
RNA015727	37144644
RNA015728	35164072
RNA015729	32376977
RNA015730	34864348
RNA015731	36032563
RNA015732	31750650
RNA015733	28365220
RNA015734	30798334
RNA015735	28556636
RNA015736	37047971
RNA015737	37426537
RNA015738	32527865
RNA015780	33297431
RNA015781	35186998
RNA015782	35572370
RNA015783	35142406
RNA015784	33430324
RNA015785	30944437
RNA015786	35054186
RNA015787	35899878
RNA015788	30569052
RNA015789	25514916
RNA015790	38138242
RNA015791	30695453
RNA015822	36961229
RNA015823	35574058
RNA015824	32823975
RNA015825	33492222
RNA015826	33907679
RNA015827	33997635
RNA015828	36891881
RNA015829	36408646
RNA015830	38580965
RNA015831	38779415
RNA015832	29005659
RNA015833	32441112
RNA015834	31745486
RNA015835	30148675
RNA015836	31373102
RNA015837	27689048
RNA015838	35770256
RNA015839	33490540
RNA015840	36153862
RNA015841	41095085
RNA015842	34308200
RNA015843	33275921
RNA015844	38551295
RNA015845	35838714
RNA015846	35558301
RNA015847	32706044
RNA015848	37488404
RNA015849	33303146
RNA015850	41976899
RNA015851	38312928
RNA015852	35285958
RNA015853	32620751
RNA015854	29348507
RNA015855	37444594
RNA015856	35844634
RNA015857	33884919
RNA015858	35906343
RNA015859	32451559
RNA015860	35525301
RNA015861	32180859
RNA015862	35567954
RNA015863	36334354
RNA015864	48125234
RNA015865	32748425
RNA015866	35510126
RNA015867	32768285
RNA015868	31958232
RNA015869	34099307
RNA015970	34533900
RNA015971	31310803
RNA015972	28873830
RNA015973	32167501
RNA015974	34432806
