SMAPLE_RNA	nr_reads
RNA015584	21080128
RNA015585	18171583
RNA015586	19647768
RNA015587	24350596
RNA015588	29173781
RNA015589	19047228
RNA015590	20429028
RNA015591	19008529
RNA015592	26732322
RNA015593	18395688
RNA015594	18742935
RNA015595	24761934
RNA015596	20542829
RNA015597	29347227
RNA015598	13115490
RNA015599	27916744
RNA015600	17739836
RNA015601	27233448
RNA015602	26267314
RNA015603	19348547
RNA015604	24527568
RNA015605	20997031
RNA015606	28935521
RNA015607	24198885
RNA015715	21131992
RNA015716	23219686
RNA015717	19984337
RNA015718	25802484
RNA015719	21627587
RNA015720	21275161
RNA015721	25628889
RNA015722	24569910
RNA015723	15523506
RNA015724	23018202
RNA015725	20957652
RNA015726	24981186
RNA015727	26088097
RNA015728	18693773
RNA015729	22113214
RNA015730	24068737
RNA015731	19579907
RNA015732	15417117
RNA015733	18707017
RNA015734	15360266
RNA015735	18716340
RNA015736	27654388
RNA015737	28706379
RNA015738	24488195
RNA015780	23364859
RNA015781	23331939
RNA015782	23054951
RNA015783	25580855
RNA015784	13578866
RNA015785	19361937
RNA015786	21335394
RNA015787	25451165
RNA015788	20491414
RNA015789	18579483
RNA015790	26017099
RNA015791	20870888
RNA015822	25461970
RNA015823	26770995
RNA015824	20090323
RNA015825	16000610
RNA015826	22546639
RNA015827	24994964
RNA015828	24611327
RNA015829	21024607
RNA015830	27302949
RNA015831	25518540
RNA015832	22255022
RNA015833	22363282
RNA015834	23704033
RNA015835	22631603
RNA015836	21317449
RNA015837	17950966
RNA015838	19845648
RNA015839	25289756
RNA015840	26420000
RNA015841	29825081
RNA015842	23995603
RNA015843	22888028
RNA015844	25704105
RNA015845	24306699
RNA015846	26481269
RNA015847	20536025
RNA015848	19112907
RNA015849	22584259
RNA015850	27262837
RNA015851	24978137
RNA015852	22197562
RNA015853	20684912
RNA015854	18873309
RNA015855	29333171
RNA015856	23194018
RNA015857	19722890
RNA015858	27227639
RNA015859	21874443
RNA015860	19315924
RNA015861	20551788
RNA015862	20079001
RNA015863	27513175
RNA015864	5194520
RNA015865	20417894
RNA015866	27623168
RNA015867	20796640
RNA015868	22710938
RNA015869	23874734
RNA015970	24015222
RNA015971	21702657
RNA015972	16354661
RNA015973	13738410
RNA015974	22545284
