"RNAID","genes_above10","Run"
"RNA015584",9995,"Cohort1"
"RNA015585",8066,"Cohort1"
"RNA015586",9617,"Cohort1"
"RNA015587",10322,"Cohort1"
"RNA015588",10193,"Cohort1"
"RNA015589",9561,"Cohort1"
"RNA015590",10465,"Cohort1"
"RNA015591",9676,"Cohort1"
"RNA015592",10011,"Cohort1"
"RNA015593",9178,"Cohort1"
"RNA015594",9677,"Cohort1"
"RNA015595",9171,"Cohort1"
"RNA015596",9149,"Cohort1"
"RNA015597",10546,"Cohort1"
"RNA015598",6471,"Cohort1"
"RNA015599",9841,"Cohort1"
"RNA015600",9850,"Cohort1"
"RNA015601",10593,"Cohort1"
"RNA015602",10016,"Cohort1"
"RNA015603",10686,"Cohort1"
"RNA015604",10438,"Cohort1"
"RNA015605",9650,"Cohort1"
"RNA015606",9654,"Cohort1"
"RNA015607",10293,"Cohort1"
"RNA015715",9575,"Cohort1"
"RNA015716",10453,"Cohort1"
"RNA015717",9527,"Cohort1"
"RNA015718",10547,"Cohort1"
"RNA015719",10411,"Cohort1"
"RNA015720",9558,"Cohort1"
"RNA015721",9878,"Cohort1"
"RNA015722",10082,"Cohort1"
"RNA015723",10122,"Cohort1"
"RNA015724",9037,"Cohort1"
"RNA015725",10780,"Cohort1"
"RNA015726",10163,"Cohort1"
"RNA015727",10606,"Cohort1"
"RNA015728",10313,"Cohort1"
"RNA015729",8775,"Cohort1"
"RNA015730",9527,"Cohort1"
"RNA015731",10618,"Cohort1"
"RNA015732",8483,"Cohort1"
"RNA015733",8624,"Cohort1"
"RNA015734",7938,"Cohort1"
"RNA015735",10926,"Cohort1"
"RNA015736",10072,"Cohort1"
"RNA015737",11334,"Cohort1"
"RNA015738",11502,"Cohort1"
"RNA015780",11125,"Cohort1"
"RNA015781",10233,"Cohort1"
"RNA015782",10092,"Cohort1"
"RNA015783",8656,"Cohort1"
"RNA015784",9709,"Cohort1"
"RNA015785",9579,"Cohort1"
"RNA015786",8767,"Cohort1"
"RNA015787",9003,"Cohort1"
"RNA015788",10605,"Cohort1"
"RNA015789",8700,"Cohort1"
"RNA015790",10322,"Cohort1"
"RNA015791",10619,"Cohort1"
"RNA015822",11331,"Cohort1"
"RNA015823",9299,"Cohort1"
"RNA015824",9025,"Cohort1"
"RNA015825",9703,"Cohort1"
"RNA015826",9530,"Cohort1"
"RNA015827",10373,"Cohort1"
"RNA015828",10830,"Cohort1"
"RNA015829",8860,"Cohort1"
"RNA015830",10176,"Cohort1"
"RNA015831",11084,"Cohort1"
"RNA015832",9978,"Cohort1"
"RNA015833",9026,"Cohort1"
"RNA015834",9590,"Cohort1"
"RNA015835",10136,"Cohort1"
"RNA015836",9038,"Cohort1"
"RNA015837",10211,"Cohort1"
"RNA015838",9900,"Cohort1"
"RNA015839",9300,"Cohort1"
"RNA015840",9853,"Cohort1"
"RNA015841",9444,"Cohort1"
"RNA015842",9307,"Cohort1"
"RNA015843",10421,"Cohort1"
"RNA015844",10976,"Cohort1"
"RNA015845",9776,"Cohort1"
"RNA015846",9479,"Cohort1"
"RNA015847",10874,"Cohort1"
"RNA015848",9064,"Cohort1"
"RNA015849",9839,"Cohort1"
"RNA015850",10859,"Cohort1"
"RNA015851",10401,"Cohort1"
"RNA015852",10425,"Cohort1"
"RNA015853",10706,"Cohort1"
"RNA015854",9761,"Cohort1"
"RNA015855",7534,"Cohort1"
"RNA015856",9270,"Cohort1"
"RNA015857",10446,"Cohort1"
"RNA015858",8958,"Cohort1"
"RNA015859",9439,"Cohort1"
"RNA015860",10901,"Cohort1"
"RNA015861",10679,"Cohort1"
"RNA015862",9652,"Cohort1"
"RNA015863",8726,"Cohort1"
"RNA015864",692,"Cohort1"
"RNA015865",11923,"Cohort1"
"RNA015866",10569,"Cohort1"
"RNA015867",10004,"Cohort1"
"RNA015868",9555,"Cohort1"
"RNA015869",9527,"Cohort1"
"RNA015970",10586,"Cohort1"
"RNA015971",10150,"Cohort1"
"RNA015972",9143,"Cohort1"
"RNA015973",9350,"Cohort1"
"RNA015974",9741,"Cohort1"
"RNA022807",4239,"Run582"
"RNA022808",7576,"Run582"
"RNA022809",7369,"Run582"
"RNA022810",7182,"Run582"
"RNA022811",4500,"Run582"
"RNA022812",5637,"Run582"
"RNA022813",6774,"Run582"
"RNA022814",5483,"Run582"
"RNA022815",3551,"Run582"
"RNA022816",7035,"Run582"
"RNA022817",7811,"Run582"
"RNA022818",5020,"Run582"
"RNA022819",6731,"Run582"
"RNA022820",7642,"Run582"
"RNA022821",7971,"Run582"
"RNA022822",6970,"Run582"
"RNA022823",7523,"Run582"
"RNA022824",7928,"Run582"
"RNA022825",7215,"Run582"
"RNA022826",5708,"Run582"
"RNA022827",5890,"Run582"
"RNA022828",6030,"Run582"
"RNA022829",5981,"Run582"
"RNA022830",5542,"Run582"
"RNA022831",3065,"Run582"
"RNA022832",7107,"Run582"
"RNA022833",7000,"Run582"
"RNA022834",6140,"Run582"
"RNA022835",7784,"Run582"
"RNA022836",8562,"Run582"
"RNA022837",6562,"Run582"
"RNA022838",6141,"Run582"
"RNA022839",6492,"Run582"
"RNA022840",6071,"Run582"
"RNA022841",7317,"Run582"
"RNA022842",3642,"Run582"
"RNA022843",6861,"Run582"
"RNA022844",7027,"Run582"
"RNA022845",5229,"Run582"
"RNA022846",6743,"Run582"
"RNA022847",3391,"Run582"
"RNA022848",4311,"Run582"
"RNA022849",7438,"Run582"
"RNA022850",8684,"Run582"
"RNA022851",8064,"Run582"
"RNA022852",8563,"Run582"
"RNA022853",7508,"Run582"
"RNA022854",6625,"Run582"
"RNA022855",8340,"Run582"
"RNA022856",8463,"Run582"
"RNA022857",7565,"Run582"
"RNA022858",6532,"Run582"
"RNA022859",5704,"Run582"
"RNA022860",7130,"Run582"
"RNA022861",7288,"Run582"
"RNA022862",6873,"Run582"
"RNA022863",7200,"Run582"
"RNA022864",4618,"Run582"
"RNA022865",5919,"Run582"
"RNA022866",5578,"Run582"
"RNA022867",7313,"Run582"
"RNA022868",6829,"Run582"
"RNA022869",7786,"Run582"
"RNA022870",7442,"Run582"
"RNA022871",8420,"Run582"
"RNA022872",9527,"Run582"
"RNA022873",9006,"Run582"
"RNA022874",7186,"Run582"
"RNA022875",6663,"Run582"
"RNA022876",5295,"Run582"
"RNA022877",7068,"Run582"
"RNA022878",6870,"Run582"
"RNA022879",5081,"Run582"
"RNA022880",6424,"Run582"
"RNA022881",7899,"Run582"
"RNA022882",7911,"Run582"
"RNA022883",6750,"Run582"
"RNA022884",7075,"Run582"
"RNA022885",7671,"Run582"
"RNA022886",8183,"Run582"
"RNA022887",8421,"Run582"
"RNA022888",8932,"Run582"
"RNA022889",8433,"Run582"
"RNA022890",6007,"Run582"
"RNA022891",9864,"Run582"
"RNA022892",7954,"Run582"
"RNA022893",8583,"Run582"
"RNA022894",6627,"Run582"
"RNA022895",4628,"Run582"
"RNA022896",4996,"Run582"
"RNA022897",4438,"Run582"
"RNA022898",5193,"Run582"
"RNA022899",7747,"Run582"
"RNA022900",6846,"Run582"
"RNA022901",8725,"Run582"
"RNA022902",6952,"Run582"
"RNA022903",4580,"Run582"
"RNA022904",8172,"Run582"
"RNA022905",7381,"Run582"
"RNA022906",9026,"Run582"
"RNA022907",7839,"Run582"
"RNA022908",7929,"Run582"
"RNA022909",8466,"Run582"
"RNA022910",5993,"Run582"
"RNA022911",7493,"Run582"
"RNA022912",7802,"Run582"
"RNA022913",8497,"Run582"
"RNA022914",8547,"Run582"
"RNA022915",8889,"Run582"
"RNA022916",9828,"Run582"
"RNA022917",9407,"Run582"
"RNA022918",9038,"Run582"
"RNA022919",10025,"Run582"
"RNA022920",8931,"Run582"
"RNA022921",5192,"Run582"
"RNA022922",7199,"Run582"
"RNA022923",7181,"Run582"
"RNA022924",8258,"Run582"
"RNA022925",6368,"Run582"
"RNA022926",8376,"Run582"
"RNA022927",6932,"Run582"
"RNA022928",5927,"Run582"
"RNA022929",6669,"Run582"
"RNA022930",6472,"Run582"
"RNA022931",6405,"Run582"
"RNA022932",7420,"Run582"
"RNA022933",8190,"Run582"
"RNA022934",8690,"Run582"
"RNA022935",9053,"Run582"
"RNA022936",7533,"Run582"
"RNA022937",4655,"Run582"
"RNA022938",5520,"Run582"
"RNA022939",7746,"Run582"
"RNA022940",7863,"Run582"
"RNA022941",6299,"Run582"
"RNA022942",7361,"Run582"
"RNA022943",6666,"Run582"
"RNA022944",8673,"Run582"
"RNA022945",7019,"Run582"
"RNA022946",5390,"Run582"
"RNA022947",6932,"Run582"
"RNA022948",7134,"Run582"
"RNA022949",8158,"Run582"
"RNA022950",8454,"Run582"
"RNA022951",3783,"Run582"
"RNA022952",4317,"Run582"
"RNA022953",5044,"Run582"
"RNA022954",5488,"Run582"
"RNA022955",5713,"Run582"
"RNA022956",6489,"Run582"
"RNA022957",7100,"Run582"
"RNA022958",7223,"Run582"
"RNA022959",4823,"Run582"
"RNA022960",5593,"Run582"
"RNA022961",5701,"Run582"
"RNA022962",4996,"Run582"
"RNA022963",5991,"Run582"
"RNA022964",2755,"Run582"
"RNA022965",5826,"Run582"
"RNA022966",7687,"Run582"
"RNA022968",4598,"Run582"
"RNA022969",5285,"Run582"
"RNA022970",7608,"Run582"
"RNA022971",5528,"Run582"
"RNA022972",5973,"Run582"
"RNA022973",5831,"Run582"
"RNA022974",7636,"Run582"
"RNA022975",5488,"Run582"
"RNA022976",6942,"Run582"
"RNA022977",8167,"Run582"
"RNA022978",6636,"Run582"
"RNA022979",5239,"Run582"
"RNA022980",6181,"Run582"
"RNA022981",6212,"Run582"
"RNA022982",6998,"Run582"
"RNA022983",7876,"Run582"
"RNA022984",4301,"Run582"
"RNA022985",4051,"Run582"
"RNA022986",4516,"Run582"
"RNA022987",5549,"Run582"
"RNA022988",8679,"Run582"
"RNA022989",5899,"Run582"
"RNA022990",7855,"Run582"
"RNA022991",7210,"Run582"
"RNA022992",4916,"Run582"
"RNA022993",7666,"Run582"
"RNA022994",5745,"Run582"
"RNA022995",4569,"Run582"
"RNA022996",8092,"Run582"
"RNA022997",8365,"Run582"
"RNA022998",7372,"Run582"
"RNA022999",7152,"Run581"
"RNA023000",5891,"Run581"
"RNA023001",8157,"Run581"
"RNA023002",4935,"Run581"
"RNA023003",3678,"Run581"
"RNA023004",4498,"Run581"
"RNA023005",4320,"Run581"
"RNA023006",4802,"Run581"
