"","RNAID","Run","trimmed","raw"
"1","RNA022999","Run581",19949155,20821119
"2","RNA023000","Run581",18845524,19637854
"3","RNA023001","Run581",14333678,14791432
"4","RNA023002","Run581",11818433,12583944
"5","RNA023003","Run581",22038874,22878441
"6","RNA023004","Run581",18725540,19446859
"7","RNA023005","Run581",22927413,26301446
"8","RNA023006","Run581",18701579,19052420
"9","RNA023007","Run581",18842692,19472505
"10","RNA023008","Run581",21603630,22770570
"11","RNA023009","Run581",18908612,19839961
"12","RNA023010","Run581",18840009,20014457
"13","RNA023011","Run581",21486021,22803094
"14","RNA023012","Run581",24409703,26221831
"15","RNA023013","Run581",22207419,23892322
"16","RNA023014","Run581",19883411,22448147
"17","RNA023015","Run581",16921377,17662348
"18","RNA023016","Run581",18303702,19312488
"19","RNA023017","Run581",18447062,19488639
"20","RNA023018","Run581",19672828,21003228
"21","RNA023019","Run581",21509650,22400087
"22","RNA023020","Run581",15984838,17056987
"23","RNA023021","Run581",19368254,20628454
"24","RNA023022","Run581",16708114,17515136
"25","RNA023023","Run581",21166815,22346758
"26","RNA023024","Run581",17858692,18652508
"27","RNA023025","Run581",20721606,22034325
"28","RNA023026","Run581",18786618,20116493
"29","RNA023027","Run581",20097334,21026796
"30","RNA023028","Run581",19551522,20585865
"31","RNA023029","Run581",19805306,20687948
"32","RNA023030","Run581",19463416,24075233
"33","RNA023031","Run581",19019401,20391725
"34","RNA023032","Run581",16208864,17700734
"35","RNA023033","Run581",23999505,25166609
"36","RNA023034","Run581",19350450,20047934
"37","RNA023035","Run581",21005980,21844058
"38","RNA023036","Run581",22087757,22899737
"39","RNA023037","Run581",24108115,25436607
"40","RNA023039","Run581",18144947,19833468
"41","RNA023040","Run581",23042686,24617487
"42","RNA023041","Run581",20604180,22581103
"43","RNA023042","Run581",20561824,21994070
"44","RNA023044","Run581",17799002,19427530
"45","RNA023045","Run581",19836834,24007138
"46","RNA023046","Run581",18061629,20369241
"47","RNA023047","Run581",18257236,19192964
"48","RNA023048","Run581",20756919,22187245
"49","RNA023049","Run581",21529282,23875352
"50","RNA023050","Run581",17688344,19177926
"51","RNA023051","Run581",19023859,20672153
"52","RNA023052","Run581",17945760,20188705
"53","RNA023053","Run581",16224221,17963438
"54","RNA023054","Run581",18701001,20186842
"55","RNA023055","Run581",21249970,22547017
"56","RNA023056","Run581",18718438,19740791
"57","RNA023057","Run581",18738784,19630743
"58","RNA023058","Run581",20783055,21591087
"59","RNA023059","Run581",20342527,21793492
"60","RNA023060","Run581",18079853,19254357
"61","RNA023061","Run581",18770139,19940627
"62","RNA023062","Run581",16513789,18870855
"63","RNA023063","Run581",17866157,18624019
"64","RNA023064","Run581",17024689,17955523
"65","RNA023065","Run581",22431714,23574408
"66","RNA023066","Run581",21275822,22633531
"67","RNA023067","Run581",17909606,18985538
"68","RNA023068","Run581",18556448,19774920
"69","RNA023069","Run581",21550013,24327777
"70","RNA023070","Run581",17808378,19319831
"71","RNA023071","Run581",17984355,18588486
"72","RNA023072","Run581",19814250,21146480
"73","RNA023073","Run581",20081191,20980686
"74","RNA023074","Run581",23172684,24655498
"75","RNA023075","Run581",18950060,19642777
"76","RNA023076","Run581",18201942,18925698
"77","RNA023077","Run581",16883001,17716781
"78","RNA023078","Run581",21197755,22048308
"79","RNA023079","Run581",19554266,21634076
"80","RNA023080","Run581",19531281,20332838
"81","RNA023081","Run581",19170599,20244139
"82","RNA023082","Run581",19864397,20637242
"83","RNA023083","Run581",19443295,20041364
"84","RNA023084","Run581",23335040,24075837
"85","RNA023085","Run581",16434403,17162852
"86","RNA023086","Run581",18868406,19542697
"87","RNA023087","Run581",17003261,17468058
"88","RNA023088","Run581",13998567,14773105
"89","RNA023089","Run581",15143003,15684005
