"RNAID","endogenous","ERCC","Sequin","ERCCvsSequin","EndovsSeq","EndovsERCC","Run"
"RNA015584",15372563,57600,311248,0.185061430113607,49.3900780085334,266.884774305556,"Cohort1"
"RNA015585",8856325,111894,106886,1.04685365716745,82.8576707894392,79.1492394587735,"Cohort1"
"RNA015586",9477428,63127,296264,0.213076850376691,31.9898063888964,150.132716587197,"Cohort1"
"RNA015587",14058686,39232,175449,0.223609139977999,80.1297585053206,358.347420473083,"Cohort1"
"RNA015588",24475228,27230,130127,0.209257110361416,188.087237852252,898.833198677929,"Cohort1"
"RNA015589",12561099,58325,265445,0.219725366836821,47.320910169715,215.363891984569,"Cohort1"
"RNA015590",8978450,93849,498514,0.188257501293845,18.0104269890113,95.6691067565984,"Cohort1"
"RNA015591",11065990,41217,209159,0.197060609392854,52.907070697412,268.481209209792,"Cohort1"
"RNA015592",25305277,30929,136626,0.226377117093379,185.215676371994,818.173138478451,"Cohort1"
"RNA015593",10117121,14901,79618,0.187156170715165,127.070775452787,678.955841889806,"Cohort1"
"RNA015594",8754821,79793,432195,0.184622681891276,20.2566457270445,109.719160828644,"Cohort1"
"RNA015595",17687303,28019,147295,0.190223700736617,120.080810618147,631.26103715336,"Cohort1"
"RNA015596",12738274,43631,126674,0.344435322165559,100.559499186889,291.954665260938,"Cohort1"
"RNA015597",27042467,22429,74205,0.302257260292433,364.429175931541,1205.69205047037,"Cohort1"
"RNA015598",4706242,7970,23692,0.336400472733412,198.642664190444,590.49460476788,"Cohort1"
"RNA015599",22929679,25381,89791,0.282667527925961,255.367230568765,903.419053622789,"Cohort1"
"RNA015600",9118004,107890,352479,0.306089157084536,25.8682190995776,84.5120400407823,"Cohort1"
"RNA015601",21772901,21489,73938,0.290635397224702,294.475114284941,1013.21145702452,"Cohort1"
"RNA015602",20077735,22328,70884,0.314993510524237,283.247771006151,899.217798280186,"Cohort1"
"RNA015603",11784482,65242,253987,0.256871414678704,46.3979731246087,180.627233990374,"Cohort1"
"RNA015604",21168634,41256,167081,0.246922151531293,126.696835666533,513.104372697305,"Cohort1"
"RNA015605",13669580,73770,273222,0.270000219601643,50.031037032157,185.299986444354,"Cohort1"
"RNA015606",20328503,18465,61662,0.299455093898998,329.676348480426,1100.92082317899,"Cohort1"
