"RNAID","endogenous","ERCC","Sequin","ERCCvsSequin","EndovsSeq","EndovsERCC"
"RNA022807",760102,39,64970,0.000600277050946591,11.699276589195,19489.7948717949
"RNA022808",1431829,70,155647,0.00044973561970356,9.19920718035041,20454.7
"RNA022809",890937,137,259832,0.000527263770436282,3.4288963638043,6503.1897810219
"RNA022810",811229,181,146883,0.00123227330596461,5.52296045151583,4481.92817679558
"RNA022811",510268,89,147451,0.000603590345267241,3.46059368875084,5733.34831460674
"RNA022812",709853,66,94627,0.000697475350587042,7.50159045515551,10755.3484848485
"RNA022813",724624,36,87381,0.00041198887630034,8.29269520834049,20128.4444444444
"RNA022814",488567,76,190038,0.000399920015996801,2.57089108494091,6428.51315789474
"RNA022815",419705,105,140601,0.000746794119529733,2.9850783422593,3997.19047619048
"RNA022816",1081252,90,220605,0.000407968994356429,4.90130323428753,12013.9111111111
"RNA022817",1044142,98,237973,0.000411811423985074,4.38764901900636,10654.5102040816
"RNA022818",1026394,137,165553,0.000827529552469602,6.19979100348529,7491.92700729927
"RNA022819",602710,70,202870,0.000345048553260709,2.97091733622517,8610.14285714286
"RNA022820",991370,93,265860,0.000349808169713383,3.72891747536297,10659.8924731183
"RNA022821",1205777,74,194976,0.00037953389135073,6.18423293123256,16294.2837837838
"RNA022822",994415,124,230463,0.0005380473221298,4.314857482546,8019.47580645161
"RNA022823",1547539,108,242126,0.000446048751476504,6.39146147047405,14329.0648148148
"RNA022824",1718697,76,247098,0.000307570275761034,6.95552776631134,22614.4342105263
"RNA022825",1125057,129,226151,0.000570415341961787,4.97480444481784,8721.37209302326
"RNA022826",568499,47,136543,0.00034421391063621,4.16351625495265,12095.7234042553
"RNA022827",817920,72,255917,0.000281341216097407,3.19603621486654,11360
"RNA022828",977886,108,190097,0.000568131006801791,5.14414220108681,9054.5
"RNA022829",731338,65,196092,0.000331477061787324,3.72956571405259,11251.3538461538
"RNA022830",813507,82,233454,0.000351246926589392,3.48465650620679,9920.81707317073
"RNA022831",237172,33,44597,0.000739960087001368,5.31811556831177,7187.0303030303
"RNA022832",850349,47,90585,0.000518849699177568,9.3873047414031,18092.5319148936
"RNA022833",847782,110,94977,0.00115817513713847,8.92618212830475,7707.10909090909
"RNA022834",664428,106,116122,0.000912833054890546,5.72180982070581,6268.18867924528
"RNA022835",1168596,101,191778,0.000526650606430352,6.09348308982261,11570.2574257426
"RNA022836",2001653,77,125368,0.000614191819284028,15.9662194499394,25995.4935064935
"RNA022837",759146,85,141338,0.000601395236949723,5.37113868881688,8931.12941176471
"RNA022838",800828,59,104019,0.000567204068487488,7.69886270777454,13573.3559322034
"RNA022839",628476,103,175860,0.000585693165017628,3.57372910269533,6101.70873786408
"RNA022840",1192715,95,142162,0.000668251712834653,8.38982991235351,12554.8947368421
"RNA022841",2334159,97,73903,0.0013125312910166,31.5840899557528,24063.4948453608
"RNA022842",284413,56,48736,0.00114904793171372,5.83578873933027,5078.80357142857
"RNA022843",1052745,109,142791,0.000763353432639312,7.372628527008,9658.21100917431
"RNA022844",1133627,110,176765,0.000622295137612084,6.41318699968885,10305.7
"RNA022845",652951,108,338744,0.000318824835273835,1.92756476867487,6045.84259259259
"RNA022846",1352279,82,151735,0.000540415856592085,8.91210992849376,16491.2073170732
"RNA022847",302195,21,52043,0.000403512480064562,5.80664066252906,14390.2380952381
"RNA022848",385864,97,122043,0.000794801832141131,3.16170530059078,3977.9793814433
"RNA022849",1546806,103,255495,0.000403139004677195,6.054153701638,15017.5339805825
"RNA022850",1379066,119,198873,0.0005983718252352,6.93440537428409,11588.7899159664
"RNA022851",1082531,97,216101,0.000448864188504449,5.00937524583412,11160.1134020619
"RNA022852",1591045,65,160108,0.0004059759662228,9.9373235565993,24477.6153846154
"RNA022853",1175514,106,208488,0.000508422547101032,5.63828133993323,11089.7547169811
"RNA022854",914090,82,168502,0.000486641108117411,5.42480207950054,11147.4390243902
"RNA022855",1667947,109,135327,0.000805456412984844,12.325308327237,15302.2660550459
"RNA022856",1258327,59,139039,0.00042434137184531,9.05017297305073,21327.5762711864
"RNA022857",1931528,102,153575,0.000664170600683705,12.5770991372294,18936.5490196078
"RNA022858",1317579,82,297786,0.000275365530951757,4.42458342568153,16068.0365853659
"RNA022859",646626,65,102319,0.000635268132018491,6.31970601745521,9948.09230769231
"RNA022860",1222196,126,232849,0.000541123217192258,5.24887802825007,9699.96825396825
"RNA022861",1174985,124,219009,0.000566186777712331,5.36500783072842,9475.68548387097
"RNA022862",1267301,101,162446,0.000621745072208611,7.80136783915886,12547.5346534653
"RNA022863",1706387,85,178205,0.000476978760416374,9.57541595353666,20075.1411764706
"RNA022864",912351,131,77608,0.00168797031233893,11.7558885681888,6964.51145038168
"RNA022865",789935,78,161127,0.000484090189726117,4.90256133360641,10127.3717948718
"RNA022866",476096,169,371246,0.00045522375998664,1.28242728541183,2817.13609467456
"RNA022867",1647717,197,180596,0.00109083257657977,9.123773505504,8364.04568527919
"RNA022868",1602770,67,198196,0.000338049203818442,8.08679287170276,23921.9402985075
"RNA022869",1097732,110,244102,0.000450631293475678,4.49702173681494,9979.38181818182
"RNA022870",1040049,209,129866,0.00160935117736744,8.00863197449679,4976.31100478469
"RNA022871",1367327,73,138568,0.000526817158362681,9.8675523930489,18730.5068493151
"RNA022872",2829138,88,162288,0.000542245883860791,17.4328231292517,32149.2954545455
"RNA022873",1606171,84,220041,0.000381747038051999,7.29941692684545,19121.0833333333
"RNA022874",917068,107,230052,0.000465112235494584,3.98635091196773,8570.72897196262
"RNA022875",1245326,85,122510,0.000693820912578565,10.1650967267978,14650.8941176471
"RNA022876",682588,47,89275,0.00052646317558107,7.645903108373,14523.1489361702
"RNA022877",2044266,89,179432,0.000496009630389228,11.392984528958,22969.2808988764
"RNA022878",2812222,63,130241,0.000483718644666426,21.5924478466842,44638.4444444444
"RNA022879",625694,135,151708,0.000889867376802805,4.12433095156485,4634.77037037037
"RNA022880",1034110,145,108019,0.00134235643729344,9.57340838185875,7131.79310344828
"RNA022881",1101583,101,105869,0.000954009200049117,10.4051516496803,10906.7623762376
"RNA022882",1417737,99,84539,0.00117105714522291,16.7702125646151,14320.5757575758
"RNA022883",1101362,154,256880,0.000599501712862037,4.28745717844908,7151.7012987013
"RNA022884",1192954,137,158282,0.000865543776298,7.53688985481609,8707.69343065693
"RNA022885",1062379,113,109283,0.0010340126094635,9.72135647813475,9401.58407079646
"RNA022886",1447096,109,75788,0.00143822240988019,19.0939990499815,13276.1100917431
"RNA022887",1706883,74,168419,0.000439380354948076,10.13474132966,23065.9864864865
"RNA022888",1516583,112,174148,0.000643131129843581,8.70858694903186,13540.9196428571
"RNA022889",1495091,77,103256,0.000745719377082204,14.4794588207949,19416.7662337662
"RNA022890",452042,84,235198,0.000357145894097739,1.92196362213964,5381.45238095238
