"RNAID","Prct","Z_score_strd","Run"
"RNA015584",89.34,0.127652584666315,"Cohort1"
"RNA015585",89.24,0.105243477835035,"Cohort1"
"RNA015586",91.97,0.717012094328924,"Cohort1"
"RNA015587",89.51,0.165748066279488,"Cohort1"
"RNA015588",87.68,-0.244338588732898,"Cohort1"
"RNA015589",91.36,0.580316542658129,"Cohort1"
"RNA015590",91.44,0.598243828123151,"Cohort1"
"RNA015591",90.04,0.284516332485258,"Cohort1"
"RNA015592",90.86,0.468271008501739,"Cohort1"
"RNA015593",85.58,-0.714929832189737,"Cohort1"
"RNA015594",89.56,0.176952619695126,"Cohort1"
"RNA015595",89.71,0.210566279942044,"Cohort1"
"RNA015596",91.22,0.54894379309434,"Cohort1"
"RNA015597",88.88,0.0245706932424378,"Cohort1"
"RNA015598",94.51,1.28620340784339,"Cohort1"
"RNA015599",88.66,-0.0247293417863735,"Cohort1"
"RNA015600",90.39,0.362948206394733,"Cohort1"
"RNA015601",85.85,-0.654425243745285,"Cohort1"
"RNA015602",87.18,-0.356384122889288,"Cohort1"
"RNA015603",91.59,0.631857488370069,"Cohort1"
"RNA015604",87.37,-0.313806819909861,"Cohort1"
"RNA015605",90.42,0.369670938444117,"Cohort1"
"RNA015606",81.3,-1.67403960456843,"Cohort1"
"RNA015607",89.31,0.120929852616931,"Cohort1"
"RNA015715",85.42,-0.750784403119781,"Cohort1"
"RNA015716",90.12,0.302443617950283,"Cohort1"
"RNA015717",90.08,0.293479975217771,"Cohort1"
"RNA015718",83.49,-1.18328016496345,"Cohort1"
"RNA015719",87.93,-0.188315821654707,"Cohort1"
"RNA015720",88.47,-0.0673066447658043,"Cohort1"
"RNA015721",85.07,-0.829216277029253,"Cohort1"
"RNA015722",93.01,0.950066805374217,"Cohort1"
"RNA015723",90.84,0.463789187135484,"Cohort1"
"RNA015724",88.24,-0.118847590477744,"Cohort1"
"RNA015725",91.97,0.717012094328924,"Cohort1"
"RNA015726",87.32,-0.325011373325502,"Cohort1"
"RNA015727",88.64,-0.0292111631526314,"Cohort1"
"RNA015728",91.88,0.696843898180773,"Cohort1"
"RNA015729",89.1,0.0738707282712458,"Cohort1"
"RNA015730",88.4,-0.0829930195476973,"Cohort1"
"RNA015731",92.59,0.855948556682846,"Cohort1"
"RNA015732",89.78,0.226252654723937,"Cohort1"
"RNA015733",91.86,0.692362076814519,"Cohort1"
"RNA015734",90.75,0.443620990987333,"Cohort1"
"RNA015735",88.9,0.0290525146086925,"Cohort1"
"RNA015736",85.72,-0.683557082625948,"Cohort1"
"RNA015737",85.88,-0.647702511695904,"Cohort1"
"RNA015738",91.31,0.569111989242491,"Cohort1"
"RNA015780",88.44,-0.0740293768151879,"Cohort1"
"RNA015781",86.79,-0.443779639531272,"Cohort1"
"RNA015782",88.52,-0.056102091350166,"Cohort1"
"RNA015783",81.46,-1.63818503363839,"Cohort1"
"RNA015784",94.87,1.36687619243599,"Cohort1"
"RNA015785",87.54,-0.275711338296691,"Cohort1"
"RNA015786",89.56,0.176952619695126,"Cohort1"
"RNA015787",90.8,0.454825544402972,"Cohort1"
"RNA015788",89.96,0.266589047020236,"Cohort1"
"RNA015789",89.76,0.22177083335768,"Cohort1"
"RNA015790",83.13,-1.26395294955604,"Cohort1"
"RNA015791",89.46,0.154543512863846,"Cohort1"
"RNA015822",85.6,-0.710448010823483,"Cohort1"
"RNA015823",89.47,0.156784423546975,"Cohort1"
"RNA015824",92.64,0.867153110098487,"Cohort1"
