"RNAID","prct_dedup","Run"
"RNA015584",62.81,"Cohort1"
"RNA015585",37.92,"Cohort1"
"RNA015586",60.31,"Cohort1"
"RNA015587",62.07,"Cohort1"
"RNA015588",65.57,"Cohort1"
"RNA015589",63.16,"Cohort1"
"RNA015590",62.11,"Cohort1"
"RNA015591",64.05,"Cohort1"
"RNA015592",69.85,"Cohort1"
"RNA015593",70.93,"Cohort1"
"RNA015594",57.29,"Cohort1"
"RNA015595",63.91,"Cohort1"
"RNA015596",62.04,"Cohort1"
"RNA015597",68.73,"Cohort1"
"RNA015598",80.48,"Cohort1"
"RNA015599",67.05,"Cohort1"
"RNA015600",55.01,"Cohort1"
"RNA015601",64.59,"Cohort1"
"RNA015602",71.52,"Cohort1"
"RNA015603",59.49,"Cohort1"
"RNA015604",60.44,"Cohort1"
"RNA015605",59.61,"Cohort1"
"RNA015606",72.35,"Cohort1"
"RNA015607",60.96,"Cohort1"
"RNA015715",66.98,"Cohort1"
"RNA015716",62.85,"Cohort1"
"RNA015717",67.4,"Cohort1"
"RNA015718",59.9,"Cohort1"
"RNA015719",56.91,"Cohort1"
"RNA015720",68.11,"Cohort1"
"RNA015721",65.75,"Cohort1"
"RNA015722",68.2,"Cohort1"
"RNA015723",70.99,"Cohort1"
"RNA015724",70.54,"Cohort1"
"RNA015725",56.04,"Cohort1"
"RNA015726",71.17,"Cohort1"
"RNA015727",63.66,"Cohort1"
"RNA015728",55.46,"Cohort1"
"RNA015729",70.74,"Cohort1"
"RNA015730",58.1,"Cohort1"
"RNA015731",57.52,"Cohort1"
"RNA015732",53.86,"Cohort1"
"RNA015733",64.01,"Cohort1"
"RNA015734",52.41,"Cohort1"
"RNA015735",56.12,"Cohort1"
"RNA015736",66.43,"Cohort1"
"RNA015737",70.18,"Cohort1"
"RNA015738",64.78,"Cohort1"
"RNA015780",62.4,"Cohort1"
"RNA015781",62.95,"Cohort1"
"RNA015782",62.13,"Cohort1"
"RNA015783",68.6,"Cohort1"
"RNA015784",67.5,"Cohort1"
"RNA015785",68.46,"Cohort1"
"RNA015786",60.04,"Cohort1"
"RNA015787",67.19,"Cohort1"
"RNA015788",51.91,"Cohort1"
"RNA015789",75.04,"Cohort1"
"RNA015790",73.76,"Cohort1"
"RNA015791",60.96,"Cohort1"
"RNA015822",71.47,"Cohort1"
"RNA015823",63.05,"Cohort1"
"RNA015824",64.65,"Cohort1"
"RNA015825",60.49,"Cohort1"
"RNA015826",67.26,"Cohort1"
"RNA015827",68.81,"Cohort1"
"RNA015828",57.12,"Cohort1"
"RNA015829",62.13,"Cohort1"
"RNA015830",66,"Cohort1"
"RNA015831",59.6,"Cohort1"
