"","Sample","uniquely_mapped","uniquely_mapped_percent","Run"
"1","RNA015584",9809928,38.74,"Cohort1"
"2","RNA015585",5401800,23.09,"Cohort1"
"3","RNA015586",5127382,21.63,"Cohort1"
"4","RNA015587",9521481,31.22,"Cohort1"
"5","RNA015588",13689523,37.06,"Cohort1"
"6","RNA015589",8201043,34.82,"Cohort1"
"7","RNA015590",5118990,20.7,"Cohort1"
"8","RNA015591",7116786,30.57,"Cohort1"
"9","RNA015592",10616440,33.18,"Cohort1"
"10","RNA015593",7455812,33.58,"Cohort1"
"11","RNA015594",6455982,28.53,"Cohort1"
"12","RNA015595",11636433,38.89,"Cohort1"
"13","RNA015596",8454661,32.95,"Cohort1"
"14","RNA015597",11801262,32.97,"Cohort1"
"15","RNA015598",3902871,26.23,"Cohort1"
"16","RNA015599",13155917,38.79,"Cohort1"
"17","RNA015600",5929970,27.5,"Cohort1"
"18","RNA015601",14039290,40.63,"Cohort1"
"19","RNA015602",11263197,35.48,"Cohort1"
"20","RNA015603",5654550,23.96,"Cohort1"
"21","RNA015604",12310637,41.17,"Cohort1"
"22","RNA015605",6785112,27.37,"Cohort1"
"23","RNA015606",11517941,32.88,"Cohort1"
"24","RNA015607",9190348,32.13,"Cohort1"
"25","RNA015715",9215988,36.09,"Cohort1"
"26","RNA015716",7817891,28.35,"Cohort1"
"27","RNA015717",7351396,29.98,"Cohort1"
"28","RNA015718",12251140,37.4,"Cohort1"
"29","RNA015719",12030295,42.48,"Cohort1"
"30","RNA015720",7543299,29.59,"Cohort1"
"31","RNA015721",11365872,36.22,"Cohort1"
"32","RNA015722",8208906,27.76,"Cohort1"
"33","RNA015723",5547098,22.96,"Cohort1"
"34","RNA015724",11484792,42.09,"Cohort1"
"35","RNA015725",6439391,24.34,"Cohort1"
"36","RNA015726",9441261,29.98,"Cohort1"
"37","RNA015727",11706495,36.43,"Cohort1"
"38","RNA015728",5546530,24.04,"Cohort1"
"39","RNA015729",8070616,29.83,"Cohort1"
"40","RNA015730",9278908,32.73,"Cohort1"
"41","RNA015731",6409634,25.31,"Cohort1"
"42","RNA015732",2972132,15.56,"Cohort1"
"43","RNA015733",5242672,24.07,"Cohort1"
"44","RNA015734",2024775,11.15,"Cohort1"
"45","RNA015735",7772905,32.75,"Cohort1"
"46","RNA015736",13097461,39.45,"Cohort1"
"47","RNA015737",14331143,40.98,"Cohort1"
"48","RNA015738",10604423,36.32,"Cohort1"
"49","RNA015780",11262930,38.68,"Cohort1"
"50","RNA015781",9915180,33.46,"Cohort1"
"51","RNA015782",9292806,32.71,"Cohort1"
"52","RNA015783",10450708,33.56,"Cohort1"
"53","RNA015784",2706403,13.27,"Cohort1"
"54","RNA015785",6240915,26.49,"Cohort1"
"55","RNA015786",6475307,25.29,"Cohort1"
"56","RNA015787",10192841,32.69,"Cohort1"
"57","RNA015788",10464895,40.57,"Cohort1"
"58","RNA015789",6912989,31.49,"Cohort1"
"59","RNA015790",9212584,28.54,"Cohort1"
"60","RNA015791",10235493,39.39,"Cohort1"
"61","RNA015822",10102693,31.14,"Cohort1"
"62","RNA015823",11202176,34.94,"Cohort1"
"63","RNA015824",4934011,21.27,"Cohort1"
"64","RNA015825",2194262,11.74,"Cohort1"
"65","RNA015826",9136441,32.8,"Cohort1"
"66","RNA015827",9482956,31.96,"Cohort1"
"67","RNA015828",11083980,36.5,"Cohort1"
"68","RNA015829",6902250,28.08,"Cohort1"
"69","RNA015830",10555150,31.75,"Cohort1"
"70","RNA015831",10214520,33.27,"Cohort1"
"71","RNA015832",11554829,43.27,"Cohort1"
"72","RNA015833",9527402,35.3,"Cohort1"
"73","RNA015834",10642191,37.1,"Cohort1"
"74","RNA015835",10632683,39.31,"Cohort1"
"75","RNA015836",9507482,36.96,"Cohort1"
"76","RNA015837",4636139,21.81,"Cohort1"
"77","RNA015838",4724010,20.27,"Cohort1"
"78","RNA015839",10814645,35.62,"Cohort1"
"79","RNA015840",9684855,30.34,"Cohort1"
"80","RNA015841",13120907,35.73,"Cohort1"
"81","RNA015842",9272449,30.64,"Cohort1"
"82","RNA015843",7906119,28.86,"Cohort1"
"83","RNA015844",9433659,30.04,"Cohort1"
"84","RNA015845",11080012,36.44,"Cohort1"
"85","RNA015846",12090643,37.11,"Cohort1"
"86","RNA015847",7810384,30.49,"Cohort1"
"87","RNA015848",2785616,12.5,"Cohort1"
"88","RNA015849",9044420,33.32,"Cohort1"
"89","RNA015850",8876374,26.76,"Cohort1"
"90","RNA015851",10167231,32.03,"Cohort1"
"91","RNA015852",7465656,22.99,"Cohort1"
"92","RNA015853",7496281,30.22,"Cohort1"
"93","RNA015854",7088585,31.13,"Cohort1"
"94","RNA015855",1673476,4.89,"Cohort1"
"95","RNA015856",10501827,36.98,"Cohort1"
"96","RNA015857",7233306,29.09,"Cohort1"
"97","RNA015858",13421660,40.76,"Cohort1"
"98","RNA015859",8457693,31.97,"Cohort1"
"99","RNA015860",5982283,24.94,"Cohort1"
"100","RNA015861",7516812,30.33,"Cohort1"
"101","RNA015862",6096060,25.52,"Cohort1"
"102","RNA015863",11530577,33.64,"Cohort1"
"103","RNA015864",111840,2.55,"Cohort1"
"104","RNA015865",7555931,28.63,"Cohort1"
"105","RNA015866",13391206,40.31,"Cohort1"
"106","RNA015867",6746077,27.05,"Cohort1"
"107","RNA015868",9009315,32.99,"Cohort1"
"108","RNA015869",11163910,38.34,"Cohort1"
"109","RNA015970",9392786,32.68,"Cohort1"
"110","RNA015971",8590689,32.06,"Cohort1"
"111","RNA015972",5212573,26.16,"Cohort1"
"112","RNA015973",2190144,13.6,"Cohort1"
"113","RNA015974",9553919,34.26,"Cohort1"
"114","RNA022999",10509291,52.68,"Run581"
"115","RNA023000",9503256,50.43,"Run581"
"116","RNA023001",7316319,51.04,"Run581"
"117","RNA023002",4874974,41.25,"Run581"
"118","RNA023003",13230153,60.03,"Run581"
"119","RNA023004",9171985,48.98,"Run581"
