"prlnkid_ser","prlnkid_pla"
"SER00001A","PLA00001A"
"SER00001G","PLA00001G"
"SER00001L","PLA00001L"
"SER00002A","PLA00002A"
"SER00002G","PLA00002G"
"SER00002L","PLA00002L"
"SER00003A","PLA00003A"
"SER00003G","PLA00003G"
"SER00003L","PLA00003L"
"SER00004A","PLA00004A"
"SER00004G","PLA00004G"
"SER00005A","PLA00005A"
"SER00005G","PLA00005G"
"SER00005L","PLA00005L"
"SER00006A","PLA00006A"
"SER00006G","PLA00006G"
"SER00006L","PLA00006L"
"SER00007A","PLA00007A"
"SER00007G","PLA00007G"
"SER00007L","PLA00007L"
"SER00008A","PLA00008A"
"SER00008G","PLA00008G"
"SER00008L","PLA00008L"
"SER00009A","PLA00009A"
"SER00009L","PLA00009L"
"SER00010A","PLA00010A"
"SER00010G","PLA00010G"
"SER00010L","PLA00010L"
"SER00011A","PLA00011A"
"SER00011G","PLA00011G"
"SER00011L","PLA00011L"
"SER00012A","PLA00012A"
"SER00012G","PLA00012G"
"SER00012L","PLA00012L"
"SER00013A","PLA00013A"
"SER00013L","PLA00013L"
"SER00014A","PLA00014A"
"SER00014L","PLA00014L"
"SER00015A","PLA00015A"
"SER00015L","PLA00015L"
"SER00016A","PLA00016A"
"SER00016G","PLA00016G"
"SER00016L","PLA00016L"
"SER00017A","PLA00017A"
"SER00017G","PLA00017G"
"SER00017L","PLA00017L"
"SER00018A","PLA00018A"
"SER00018G","PLA00018G"
"SER00018L","PLA00018L"
"SER00019G","PLA00019G"
"SER00019L","PLA00019L"
"SER00020A","PLA00020A"
"SER00020G","PLA00020G"
"SER00020L","PLA00020L"
"SER00021G","PLA00021G"
"SER00021L","PLA00021L"
"SER00022A","PLA00022A"
"SER00022L","PLA00022L"
"SER00023A","PLA00023A"
"SER00023G","PLA00023G"
"SER00024A","PLA00024A"
"SER00024L","PLA00024L"
"SER00025A","PLA00025A"
"SER00025G","PLA00025G"
"SER00025L","PLA00025L"
"SER00026A","PLA00026A"
"SER00026G","PLA00026G"
"SER00026L","PLA00026L"
"SER00027A","PLA00027A"
"SER00027G","PLA00027G"
"SER00027L","PLA00027L"
"SER00028A","PLA00028A"
"SER00028G","PLA00028G"
"SER00028L","PLA00028L"
"SER00029L","PLA00029L"
"SER00030A","PLA00030A"
"SER00030G","PLA00030G"
"SER00030L","PLA00030L"
"SER00031A","PLA00031A"
"SER00031G","PLA00031G"
"SER00031L","PLA00031L"
"SER00032G","PLA00032G"
"SER00032L","PLA00032L"
"SER00033A","PLA00033A"
"SER00033G","PLA00033G"
"SER00033L","PLA00033L"
"SER00034A","PLA00034A"
"SER00034G","PLA00034G"
"SER00034L","PLA00034L"
"SER00035A","PLA00035A"
"SER00035G","PLA00035G"
"SER00035L","PLA00035L"
"SER00036A","PLA00036A"
"SER00036G","PLA00036G"
"SER00036L","PLA00036L"
"SER00037A","PLA00037A"
"SER00037G","PLA00037G"
"SER00037L","PLA00037L"
"SER00038A","PLA00038A"
"SER00038G","PLA00038G"
"SER00038L","PLA00038L"
"SER00039A","PLA00039A"
"SER00039G","PLA00039G"
"SER00039L","PLA00039L"
"SER00040G","PLA00040G"
"SER00040L","PLA00040L"
"SER00041A","PLA00041A"
"SER00041G","PLA00041G"
"SER00041L","PLA00041L"
"SER00042A","PLA00042A"
"SER00042G","PLA00042G"
"SER00042L","PLA00042L"
"SER00043A","PLA00043A"
"SER00043G","PLA00043G"
"SER00043L","PLA00043L"
"SER00044A","PLA00044A"
"SER00044G","PLA00044G"
