samplename	raw	trimmed
RNA015584	29374431	25320857
RNA015585	37808146	23395998
RNA015586	38681817	23709629
RNA015587	37158605	30499274
RNA015588	41593659	36937065
RNA015589	28735590	23554491
RNA015590	34474524	24733965
RNA015591	29177592	23276932
RNA015592	36892255	32000331
RNA015593	26200121	22203014
RNA015594	31633463	22627046
RNA015595	34292150	29919923
RNA015596	32740325	25659392
RNA015597	39917338	35794285
RNA015598	16442025	14878893
RNA015599	37698287	33918703
RNA015600	31451005	21561239
RNA015601	38080342	34554698
RNA015602	35119332	31740815
RNA015603	31529181	23596979
RNA015604	33898803	29902196
RNA015605	35179544	24788715
RNA015606	39999108	35029574
RNA015607	35593682	28600608
RNA015715	29052240	25537569
RNA015716	35941332	27574872
RNA015717	31386079	24521169
RNA015718	38133394	32759428
RNA015719	32878031	28322112
RNA015720	31869444	25490092
RNA015721	37159392	31375877
RNA015722	35407726	29568942
RNA015723	32571065	24161984
RNA015724	29492034	27289114
RNA015725	38026053	26456455
RNA015726	35946400	31487518
RNA015727	37144644	32137135
RNA015728	35164072	23071440
RNA015729	32376977	27054637
RNA015730	34864348	28349479
RNA015731	36032563	25323700
RNA015732	31750650	19095871
RNA015733	28365220	21780671
RNA015734	30798334	18160136
RNA015735	28556636	23732781
RNA015736	37047971	33200119
RNA015737	37426537	34973025
RNA015738	32527865	29195116
RNA015780	33297431	29116733
RNA015781	35186998	29637169
RNA015782	35572370	28405362
RNA015783	35142406	31135974
RNA015784	33430324	20391916
RNA015785	30944437	23558428
RNA015786	35054186	25605354
RNA015787	35899878	31184059
RNA015788	30569052	25794687
RNA015789	25514916	21955453
RNA015790	38138242	32284347
RNA015791	30695453	25982060
RNA015822	36961229	32445885
RNA015823	35574058	32058931
RNA015824	32823975	23195201
RNA015825	33492222	18692068
RNA015826	33907679	27853431
RNA015827	33997635	29675017
RNA015828	36891881	30367799
RNA015829	36408646	24584475
RNA015830	38580965	33242224
RNA015831	38779415	30702606
RNA015832	29005659	26702404
RNA015833	32441112	26991736
RNA015834	31745486	28686103
RNA015835	30148675	27048965
RNA015836	31373102	25723298
RNA015837	27689048	21261539
RNA015838	35770256	23304312
RNA015839	33490540	30359355
RNA015840	36153862	31923416
RNA015841	41095085	36727355
RNA015842	34308200	30262021
RNA015843	33275921	27396363
RNA015844	38551295	31408206
RNA015845	35838714	30407543
RNA015846	35558301	32582946
RNA015847	32706044	25617870
RNA015848	37488404	22280847
RNA015849	33303146	27142697
RNA015850	41976899	33167936
RNA015851	38312928	31739250
RNA015852	35285958	32474445
RNA015853	32620751	24808715
RNA015854	29348507	22771979
RNA015855	37444594	34190749
RNA015856	35844634	28397489
RNA015857	33884919	24865410
RNA015858	35906343	32930118
RNA015859	32451559	26456586
RNA015860	35525301	23986575
RNA015861	32180859	24780666
RNA015862	35567954	23886028
RNA015863	36334354	34272526
RNA015864	48125234	4379724
RNA015865	32748425	26393194
RNA015866	35510126	33223875
RNA015867	32768285	24937545
RNA015868	31958232	27312647
RNA015869	34099307	29116703
RNA015970	34533900	28739796
RNA015971	31310803	26797731
RNA015972	28873830	19922957
RNA015973	32167501	16104128
RNA015974	34432806	27886435
