,EPCAM+ bile duct cells,Hepatocytes,LSEC,MVEC
RNA023479,1.4900082435460076,51.240420956536546,6.52565695403262,2.147297672103982
RNA023491,1.8692473222383197,50.730146291987545,8.387585377431556,3.468004669754009
RNA023504,2.0907549073036407,56.72689179123853,13.783481518786546,2.3470511062622466
RNA023506,1.7860304950926797,59.851239659029645,12.401640594605567,2.3916438516575758
RNA023520,2.2144117761278475,70.57479971645843,10.412481414824269,3.3061726922169776
RNA023514,2.031042891524817,79.94753248786904,14.933761345231273,2.865343248086655
RNA023523,3.403876449702765,89.60004564110025,13.163432631837287,2.654536894022245
RNA023526,2.7696858960030357,68.55334343282236,8.707342103419498,2.256009801755637
RNA023534,1.857030843493416,49.632668865651304,11.93086213064771,2.9452617947842485
RNA023539,1.5259403986720383,55.221823055947155,7.534887389833237,2.686348009650801
RNA023540,0.6206024713742647,54.49959543896964,4.475800195298748,2.5680734434203405
RNA023545,2.4781598742581914,57.687463793490956,11.59557457909771,2.930867335991564
RNA023550,2.124377200140267,67.20863700038409,7.596831190784471,3.3544137899614594
RNA023551,1.325334460139343,59.00774039705467,6.154142313886209,2.5630185270264123
RNA023553,1.445803171438733,50.82439515571158,9.161516768784729,2.557172139415868
RNA023555,2.5085360507842003,54.51189294962906,10.641911439463698,2.8404917873538276
RNA023556,2.579911125706335,57.1133037658153,6.062235718451326,3.4216133153972086
RNA023559,2.1320820743903957,61.28303438164524,9.23299388062432,1.5510039675610425
RNA023561,1.8879184451804045,45.55577133154272,7.591638994816442,2.13701908393955
RNA023562,2.7095204587564248,62.574827766909344,13.003757520721505,3.623203812606727
RNA023567,2.5543539299542246,60.210332186312606,9.418616410083551,2.2922559239823306
RNA023568,1.7674887126050176,54.56645898521433,8.810933335011764,1.7674887126050176
RNA023572,1.917701145484812,58.998175823321304,10.40399145485226,2.5345371096643
RNA023573,3.127021246562038,69.67014295014643,8.788658329076242,1.4913397144473945
RNA023575,2.5937751062241396,73.92010190697694,10.8474099406337,2.9086625247697375
RNA023581,2.7175816043831453,52.868408112118665,11.772193586595492,3.7711726367110656
RNA023585,2.0276007468720243,46.740591828536026,6.778295843884799,3.376490884079981
RNA023587,2.925916105589363,59.97225184888563,9.354541946275901,3.044751558886565
RNA023593,1.6951750461589834,59.05009380327566,8.4665832459169,2.7234193734439347
RNA023594,0.0,61.06938740793416,10.954611750462062,3.0869469313689843
RNA023596,1.6704403577727776,53.619915797139186,6.766438796986753,2.5261568335162505
RNA023603,1.9987981225383424,55.041623738378995,8.636806147179252,1.8432154807801107
RNA023605,1.5404225239343856,55.29579853279552,7.284526483785882,2.882909725324477
RNA023614,2.00832790286045,60.83548765386821,5.319108348759668,0.9603887989999995
RNA023616,2.2299037488064655,66.45905410054286,7.582935271857318,2.906328377607342
RNA023617,1.0962372847039383,68.80955596046479,11.44624381647003,2.1486127233899
RNA023618,1.9360654229877563,57.666649559420925,9.648308548467293,1.7821895205390228
RNA023619,1.9759232970584855,64.24674846163377,9.018834717202164,2.5972343249113283
RNA023521,0.6616362387339717,43.829156528377794,11.521256246175707,1.5585325074078784
RNA022818,2.530195655334925,55.23371794589894,8.539037897563551,0.9748810189386355
RNA022822,1.2824366000561123,59.36177280889784,9.927813546333898,3.8507640154015075
RNA022824,0.4623161678172656,45.741479999889556,10.414273334637928,1.6320269539022554
RNA022832,0.9987481789979248,50.3435448134312,9.375457088920184,1.6652893513694158
RNA022836,1.666943396350926,60.60015581624927,10.357355636148803,2.6648082366922545
RNA022838,2.7788083486424533,64.11947336942477,10.799866874457228,2.4383149523232026
RNA022852,1.0596504309262917,57.587972324705554,8.118982251202873,2.144930632555994
RNA022853,2.006628983684139,49.89261938312995,6.841576585799894,1.3510356522333016
RNA022855,1.850760354541397,58.71713943488188,13.777606005504312,3.3821057072426814
RNA022854,1.9392384534337876,60.19626149074925,11.17621536242141,3.0836097863442196
RNA022860,2.0094730743468276,56.49811194355617,7.472138323024819,2.6332383995559363
RNA022867,2.6446783194462378,62.62616658893221,9.570600738236694,2.413454487766157
RNA022871,1.3736679903872158,52.49048466581826,6.325512586701692,2.3825699620090144
RNA022880,2.349345261827776,55.34025544330223,9.591838731615105,2.8212505715272824
RNA022883,1.319131655156901,66.16651402496412,10.920104230682322,2.4021858817052064
RNA022885,1.113658666841485,53.5213647754461,7.989903111377427,0.860208567204308
RNA022887,1.738927264473333,64.63415224124059,9.82927480876916,2.4804144833947355
RNA022904,1.978175370799847,68.17238988859863,7.337916006823521,3.1144139321270488
RNA022906,1.0708301437985357,51.48566142423514,8.052434231213603,1.910046387847915
RNA022911,0.5282090783829234,45.093915630024966,7.939565525223978,1.4995029242273192
RNA022915,2.3371613979061077,64.71847086156583,10.484144631028634,2.6003967027740726
RNA022921,2.8249961381970103,53.423040649675585,8.228405910041538,0.9501463042320611
RNA022923,2.6604422139084396,65.76250620964049,9.270215266817019,2.317034801675276
RNA022925,2.140010709476156,53.54565087573686,8.000907307052854,1.4384321796397324
RNA022946,0.848840227919339,49.540532296989504,10.080809250901012,0.0
RNA022948,1.7319352582964953,58.260195240833035,11.329168047136575,2.849580555782108
RNA022956,1.126775025035054,60.70370275892987,13.860224662064473,2.8727458485303763
RNA022972,2.75066966703207,61.414685904824815,8.835716994157792,0.7979992199908464
RNA022975,2.7225143536076266,54.51583940471565,9.580513000568088,0.0
RNA022981,2.051822394977884,53.49548350026584,6.544853476689044,2.1874452743409294
RNA022987,2.5031954584593166,76.30874616074027,9.481874044956168,0.8765871157894872
RNA022992,1.5042399663289592,61.09666319514769,8.841749958169384,2.7082452813942126
RNA022993,1.9403505256677385,55.07678425161296,11.571006989836942,2.1914584471915055
RNA022995,2.5311689882640924,67.99562630150103,13.024980131694605,2.5311689882640924
RNA023001,2.1962991011169364,63.89489723428913,12.493712361219018,2.8322334013769233
RNA023024,2.471468529154097,54.34177917712405,8.844312629224067,0.7342805448608944
