RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
AAK1,A2M,A2M,ABCC3,ABCA5,ABLIM3,ABHD17A,A2ML1,ABCA5,ABCA5,AAK1,ABLIM3,AAK1,AASDH,A4GALT,AATK,ABCA5,AAK1,ABCC4,A2M,AATK,ABCA5,AATK,ABCA5,ABCC5,ABCC4,AAK1,A2M,AATK,AATK,ABCA5,ABCA5,ABCC1,ABCC3,ABCC4,ABCC3,ABLIM1,ABCC4,AATK,ABCC5,A2M,AAK1,A2M,AATK,A2ML1,ABCA8,AATK,ABCA5,AATK,AATK,AATK,ABCA5,AATK,A2M,ABCC5,AATK,AATK,ABHD12,A2M,ABHD11,ABCA5,ABCA5,ABCC5,AATK,AAK1,ABLIM3,ACRBP,A2M,ABCC5,A2M,ABCA5,AAK1,ABCC3,ABCA5,ABCC5,ABLIM3,ABCA5,AATK,AATK,A1CF,AATK,A2M,ABCA5,AAK1,A2M,ABCC4,AATK,AASDH,AAK1,A2M,AASDHPPT,A2M,AASDHPPT,A2M,AATK,AAK1,AAK1,AATK,AATK,A2M,A2M,AACS,ABCA5,AASDHPPT,ABCC3,A2M,ABCC4,ABCC5,ABCC4,AASDHPPT,AAK1,ABCA8,AATF,ACRBP,AASDH,ABHD17A,A2M,AACS,A2M,ABCA5,ABCA5,AAK1,AATK,AAK1,AATK,ABCA5,ABCA5,A2M,AAK1,ABL2,A2M,A2M,AASDH,ABCC3,A2M,ABL2,ABCA5,ABCA5,A2M,A2M,ABCA5,A2M,ABLIM3,A2M,ABCC3,ABCA5,A2M,A2M,ABCA5,A2M,ABHD12,ABCA5,ABCA5,ABCA8,A2M,ABCC3,AAK1,ABCA8,ABCA5,ABCA5,A2M,ABCA5,ABL2,A2M,A2M,AAMP,A2M,ABHD12,AAK1,ABCC4,A2M,ABCC3,A2M,ABLIM3
AATK,AAK1,AAK1,ABCC5,ABHD12,ACRBP,ABLIM3,AAK1,ABCC3,ABHD11,AATK,ACRBP,AASDH,ABCA13,AAK1,ABCC3,ABCA8,AAMP,ABLIM3,AATK,ABCA5,ABCC5,ABCA5,ABHD3,ABCG1,ABHD17A,AATK,AASDH,ABCA5,ABCA5,ABCC4,ABCC4,ABCC4,ABLIM3,ABLIM3,ABLIM3,ABLIM3,ABLIM3,ABCA5,ACAT1,AASDH,AASDH,AAK1,ABCA5,A4GALT,ABCC5,ABCA5,ABCA8,ABCC4,ABHD11,ABCA5,ABCC5,ABHD11,AATK,ABL2,ABCA5,ABCA5,ABLIM1,ABLIM1,ABLIM3,ABL2,ABCC3,ABHD11,ABCA5,AATK,ACRBP,ACTC1,ABCA5,ABHD12,ABCC3,ABCC4,AATK,ABHD3,ABCC4,ABHD12,ACRBP,ABL2,ABCC4,ABCA5,AAK1,ABCC3,A2ML1,ABCC5,AATK,AATK,ABCC5,ABCA8,ABCA5,AASDH,AAMP,ABCB9,AAK1,ABCA13,A2ML1,ABCA5,AASDH,AASDHPPT,ABCA5,ABCA5,ABCA5,AASDH,AAK1,ABCC5,AATK,ABCC4,AASDH,ABCC5,ABHD11,ABLIM3,ABCC4,AASDH,ABL2,ABCA5,ACTN1,ABCA5,ABLIM3,ABCC4,AAK1,AAK1,ABLIM1,ABCC4,AASDH,ABCA13,ABCA5,ABCA8,ABL2,ABCC5,ABCA1,AASDH,ABLIM3,AACS,ABCA5,ABCA5,ACAT1,ABCA5,ABLIM3,ABCC3,ABCC3,ABCC3,AASDH,ABCC4,ABCA5,ACRBP,AAMP,ABCC4,ABCC5,ABCG1,A4GALT,ABCG1,A4GALT,ABHD3,ABCC3,ABHD3,ABCC5,AAK1,ABCC5,AASDH,ABHD12,ABCC3,ABHD3,AAK1,ABCC3,ABLIM3,AATK,AATK,AASDHPPT,AASDH,ABHD5,AAMP,ABLIM3,AAMP,ACRBP,ACRBP,ACRBP
ABCA5,ABCA8,AAMP,ABHD11,ABHD3,ACTC1,ACRBP,AAMDC,ABHD12,ABHD3,ABCA5,ACTN1,AATK,ABCA5,AAMP,ABCC4,ABCB9,AATK,ACRBP,ABCA13,ABCB1,ABL2,ABCC4,ABHD5,ABHD12,ABLIM3,ABCA13,AATK,ABCA8,ABCC3,ABCC5,ABLIM3,ABCC5,ACP1,ACRBP,ACP1,ACRBP,ACRBP,ABCC4,ACRBP,ABCA2,AATK,AAMP,ABCC5,AAK1,ABHD12,ABCC5,ABCC3,ABCC5,ABHD12,ABCC3,ABCG1,ABHD12,ABCA5,ACRBP,ABCC4,ABCA8,ABLIM3,ACRBP,ACRBP,ABLIM1,ABCC5,ABHD12,ABCC4,ABCA5,ACTN1,ACTN1,ACRBP,ABHD3,ABCC5,ACRBP,ABCA5,ABL2,ABL2,ABLIM1,ACTN1,ABLIM1,ABHD11,ABCC4,AAMP,ABCC4,AAK1,ABHD11,ABCA5,ABCA5,ABHD11,ABCC4,ABCC1,AATK,AASS,ABCC3,AASDHPPT,ABCC3,AACS,ABCC3,AASDHPPT,AATK,ABCA8,ABCC4,ABCC5,ABCA5,AATK,ABHD11,ABCA3,ABHD11,AATK,ABHD11,ABHD12,ACP1,ABCG1,AATK,ACRBP,ABCA8,ACTN4,ABCB9,ACP1,ABLIM3,AAMP,AAMP,ABLIM3,ABCC5,AATK,ABCA8,ABCA8,ABCB9,ABLIM1,ABHD12,ABCA5,ABCA5,ACRBP,AAMP,ABCA8,ABCA7,ACRBP,ABL2,ACRBP,ABHD12,ABLIM3,ABLIM3,AATK,ABCC5,ABHD12,ACTC1,AAR2,ABLIM3,ABCD3,ABHD12,AACS,ABL2,AADACP1,ABHD5,ABCC5,ACRBP,ABHD3,ABCA13,ABHD3,ABCA8,ABHD3,ABCC5,ABL2,AASDH,ABL2,ACRBP,ABCA8,ABCA5,ABCA3,AATK,ABL2,AASDHPPT,ACP1,AASDH,ACTN1,ACTN1,ACTC1
ABCB1,ABCC4,AASDH,ABHD12,ABL2,ACTN1,ACSM2B,AASDH,ABHD3,ABL2,ABCB9,ACTR2,ABCA8,ABCA8,AASDH,ABCC5,ABCC3,ABCA5,ACTN1,ABCA8,ABCC3,ABLIM3,ABCC5,ABL2,ABHD3,ACP1,ABCA3,ABCA8,ABHD11,ABCC5,ABHD11,ACP1,ABHD11,ACRBP,ACTC1,ACRBP,ACTN1,ACTN1,ABHD11,ACTR2,ABCA5,ABCA5,AASDH,ABHD11,AAMP,ABHD3,ABHD12,ABCC5,ABHD11,ABL2,ABCC4,ABHD12,ABHD3,ABCC4,ACTN1,ABCC5,ABCC3,ACRBP,ACTN1,ACTN1,ACAT1,ABHD11,ABLIM3,ABHD11,ABCB9,ACTN4,ACTR2,ACTN1,ABHD5,ABHD11,ACTN1,ABCB1,ABLIM1,ACRBP,ABLIM3,ACTR2,ACRBP,ABHD12,ABCC5,AARS2,ABHD11,AAMP,ABHD12,ABCA8,ABCC4,ABHD12,ABHD11,ABCC3,ABCA5,ABCA5,ABCC4,AATK,ABCC4,AAMP,ABCC4,AATK,ABCA5,ABCC3,ABHD11,ABHD17A,ABCC1,ABCA5,ABHD12,ABCA5,ABHD12,ABCA5,ABHD12,ABHD17A,ACRBP,ABHD14B,ABCA5,ACSM2B,ABCC3,ACTR2,ABCC3,ACRBP,ACP1,AARS2,AARS2,ACRBP,ABHD11,ABCA2,ABCC4,ABCC5,ABCC1,ABLIM3,ABL2,ABCA8,ABCB9,ACTN1,AAR2,ABCC5,ABCA8,ACTR2,ABLIM3,ACTN1,ABHD17A,ACAT1,ACRBP,ABCA5,ABHD12,ABL2,ACTN1,ABCA3,ACP1,ABCG1,ABHD3,AAK1,ABLIM3,AAK1,ABL2,ABHD12,ACTN4,ABL2,ABCA5,ABL2,ABCB1,ABHD5,ABHD12,ACRBP,ABCA8,ABLIM3,ACTN1,ABCC4,ABCC3,ABCA5,ABCA5,ABLIM1,AASS,ACRBP,AATK,ACTR2,ACTR2,ACTN1
ABCC1,ABCC5,ABCA5,ABI3,ABLIM3,ACTR2,ACTC1,AASDHPPT,ABL2,ABLIM1,ABCC3,ACTR3,ABCB1,ABCB9,ABCA10,ABHD11,ABCC4,ABCA8,ACTR2,ABCB9,ABCC4,ACRBP,ABHD11,ABLIM1,ABHD5,ACRBP,ABCA5,ABHD17A,ABHD12,ABHD11,ABHD12,ACRBP,ABHD12,ACTN1,ACTN1,ACTN1,ACTN4,ACTR3,ABHD17A,ACTR3,ABCC3,ABCB1,ABCA5,ABHD12,AASDH,ABHD5,ABHD3,ABHD11,ABHD17A,ABLIM3,ABCC5,ABHD3,ABHD4,ABCC5,ACTN4,ABHD11,ABCC4,ACTN1,ACTR2,ACTN4,ACRBP,ABHD12,ACRBP,ABHD17A,ABCC1,ACTR2,ACTR3,ACTR2,ABL2,ABHD12,ACTR2,ABCB9,ABLIM3,ACTR2,ACRBP,ACTR3,ACSM2B,ABHD17A,ABHD11,AASDH,ABHD12,AASDH,ABHD3,ABCB1,ABCC5,ABL2,ABHD12,ABCC4,ABCB1,ABCA8,ABCD4,ABCA5,ABCC5,AASDHPPT,ABCG1,ABCA13,ABCA7,ABCC4,ABHD12,ABHD3,ABCC3,ABCB1,ABHD3,ABCB9,ABHD17A,ABCB9,ABHD17A,ABLIM1,ACTC1,ABHD17A,ABCB9,ACTN1,ABCC5,ACTR3,ABCC5,ACTN1,ACRBP,AASDHPPT,AASDH,ACTN1,ABHD12,ABCA5,ABCC5,ABHD11,ABCC4,ACRBP,ACRBP,ABCB8,ABCC5,ACTR2,AASDH,ABHD3,ABCB1,ACTR3,ACRBP,ACTN4,ABHD3,ACRBP,ACTN1,ABCB9,ABHD5,ABLIM3,ACTN4,ABCA7,ACRBP,ABHD12,ABL2,AAMP,ACRBP,AAMDC,ABLIM1,ABHD3,ACTR2,ABLIM1,ABCD4,ABLIM1,ABCB9,ABL2,ABLIM1,ACTN1,ABCD3,ACRBP,ACTR2,ABCC5,ABCC4,ABCA7,ABCA8,ABLIM3,AATK,ACTN1,ABCA5,ACTR3,ACTR3,ACTN4
ABCC3,ABCG1,ABCB10,ABL2,ACRBP,ACTR3,ACTN1,AASS,ACRBP,ABLIM3,ABCC4,ADAMTS1,ABCB10,ABCC3,ABCA2,ABHD3,ABCC5,ABCB10,ACTR3,ABCC3,ABCC5,ACTN1,ABHD17A,ABLIM3,ABL2,ACTN1,ABCB9,ABI3,ABHD17A,ABHD12,ABHD17A,ACTN1,ABHD17A,ACTR2,ACTR2,ACTR2,ACTR2,ADAMTS1,ABLIM3,ADA2,ABCC4,ABCC4,ABCA8,ABLIM1,AATK,ABL2,ABL2,ABHD12,ABHD3,ACRBP,ABHD11,ABL2,ABL2,ABHD11,ACTR2,ABHD12,ABCC5,ACTN4,ACTR3,ACTR2,ACTN4,ABHD3,ACTN1,ABLIM3,ABCC4,ACTR3,ADAMTS1,ACTR3,ABLIM1,ABHD3,ACTR3,ABCC1,ACAP1,ACTR3,ACTN1,ADAM28,ACTN1,ABHD4,ABHD12,AASDHPPT,ABHD17A,AASDHPPT,ABL2,ABCC1,ABHD11,ABLIM1,ABHD3,ABCC5,ABCB9,ABCB1,ABHD12,ABCA8,ABHD11,AASS,ABHD11,ABCA5,ABCB9,ABCC5,ABHD3,ABHD5,ABCG1,ABCC1,ABHD5,ABCC3,ABHD5,ABCC3,ABLIM3,ABLIM3,ACTN1,ABHD3,ABCC5,ACTR2,ABHD11,ADAMTS1,ABCG1,ACTR2,ACTC1,AATK,AASS,ACTR2,ABHD17A,ABCB1,ABHD11,ABHD12,ABCC5,ACTN1,ACTN1,ABCB9,ABCD4,ACTR3,ABCA13,ABI3,ABCC1,ADAMTS1,ACTN1,ACTR2,ABL2,ACTN1,ACTR2,ABCC3,ABL2,ACRBP,ACTR2,ABCA9,ACTN1,ABHD5,ABLIM1,AARS2,ACTN1,AAMP,ABLIM3,ACRBP,ACTR3,ABLIM3,ABCE1,ABLIM3,ABCC4,ABLIM1,ABLIM3,ACTR2,ABHD14B,ACTN1,ACTR3,ABCE1,ABCC5,ABCA8,ABCC5,ABTB1,ABCA5,ACTN4,ABCA8,ADAM28,ADD3,ACTR2
ABCC4,ABHD12,ABCB8,ABLIM3,ACSM2B,ADAMTS9,ACTN4,AATK,ACTN1,ACAP2,ABCG1,ADD3,ABCB9,ABCC5,ABCA5,ABHD5,ABCG1,ABCC1,ADAMTS1,ABCC4,ABHD11,ACTN4,ABHD4,ACAP2,ABLIM1,ACTR2,ABCC1,ABL2,ABHD3,ABHD17A,ABL2,ACTR3,ABHD3,ACTR3,ACTR3,ACTR3,ACTR3,ADD3,ACAP2,ADAMTS1,ABCC5,ABCC5,ABCB1,ABLIM3,ABCA2,ABLIM1,ABLIM1,ABHD17A,ABL2,ACTN1,ABHD12,ABLIM1,ABLIM1,ABHD12,ACTR3,ABHD17A,ABHD11,ACTR2,ADD3,ACTR3,ACTR2,ABL2,ACTN4,ACAP2,ABCC5,ADAM28,ADD3,ADAMTS1,ABLIM3,ABI3,ADAM28,ABCC3,ACLY,ADA2,ACTR2,ADAMTS1,ACTR2,ABHD5,ABHD17A,AASS,ABL2,AASS,ABLIM1,ABCC4,ABHD12,ABLIM3,ABL2,ABHD11,ABCC1,ABCC4,ABHD17A,ABCB1,ABHD12,AATK,ABHD12,ABCA8,ABCC1,ABHD11,ABHD5,ABL2,ABHD12,ABCC3,ABL2,ABCC4,ABL2,ABCC4,ACAP2,ACAP2,ACTR2,ABHD4,ABCG1,ACTR3,ABHD12,ADD3,ABHD11,ACTR3,ACTN1,ABCA13,ABCA13,ACTR3,ABLIM1,ABCB8,ABHD12,ABHD3,ABHD11,ACTN4,ACTR2,ABCC3,ABCG1,ADD3,ABCA5,ABL2,ABCC4,ADAMTS9,ACTN4,ACTR3,ABLIM1,ACTR2,ACTR3,ABCC4,ABLIM3,ACTN1,ACTR3,ABCB10,ACTR2,ABL2,ABLIM3,AASDHPPT,ACTN4,AAR2,ACRBP,ACTN1,ADA2,ACAP1,ABHD12,ACAP2,ABCC5,ABLIM3,ACRBP,ACTR3,ABHD5,ACTN4,ADA2,ABCG1,ABHD12,ABCC4,ABHD12,ACAP1,ABCB10,ACTR2,ABCC4,ADD3,ADIPOR1,ACTR3
ABCC5,ABHD17A,ABCB9,ACRBP,ACTN1,ADIPOR1,ACTR2,ABCA1,ACTN4,ACOT11,ABHD11,ADH1B,ABCC3,ABCG1,ABCB1,ABLIM3,ABHD11,ABCC4,ADIPOR1,ABCC5,ABHD12,ACTR2,ABHD5,ACRBP,ABLIM3,ACTR3,ABCC3,ABLIM1,ABI3,ABHD3,ABLIM1,ADIPOR1,ABI3,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,ADH1B,ACRBP,ADD3,ABCG1,ABCG1,ABCC1,ACAP2,ABCA3,ABLIM3,ABLIM3,ABHD3,ABLIM3,ACTN4,ABHD17A,ABLIM3,ABLIM3,ABHD17A,ADGRG6,ABHD3,ABHD12,ACTR3,ADGRG6,ADD3,ACTR3,ABLIM1,ACTR2,ACP1,ABCG1,ADAMTS1,ADIPOR1,ADD3,ACAP2,ABL2,ADD3,ABCC4,ACRBP,ADD3,ACTR3,ADD3,ACTR3,ABLIM3,ABHD3,AATK,ABLIM1,AATK,ABLIM3,ABCC5,ABHD17A,ACAP2,ABLIM1,ABHD12,ABCC4,ABCC5,ABHD3,ABCC3,ABHD17A,ABCA3,ABHD5,ABCC1,ABCC3,ABHD4,ABL2,ABLIM1,ABHD5,ABCC5,ABLIM1,ABCC5,ABLIM1,ABCC5,ACRBP,ACD,ACTR3,ABLIM1,ABHD11,ACVR2B,ABHD3,ADIPOR1,ABHD12,ADAMTS1,ACTR2,ABCB1,ABCA5,ADAMTS1,ABLIM3,ABCC1,ABHD17A,ABI3,ABHD12,ACTR2,ACTR3,ABCC5,ABHD12,ADIPOR1,ABCB10,ABLIM1,ABCC5,ADGRG6,ACTR2,ADAM28,ABLIM3,ACTR3,ADD3,ABCC5,ACER3,ACTR2,ADAMTS1,ABCB7,ADAMTS1,ABLIM1,ACAP2,ABCA13,ACTR2,AARD,ACSL3,ACTN4,ADAMTS9,ACER3,ABHD17A,ACLY,ABCG1,ACBD6,ACTN1,ADGRL4,ABI3,ACTR2,ADIPOR1,ABHD11,ABHD5,ABCC5,ABHD3,ACRBP,ABCB7,ACTR3,ABCG1,ADIPOR1,AGPAT1,ADAMTS1
ABCG1,ABHD3,ABCC1,ACTN1,ACTN4,ADSL,ACTR3,ABCA3,ACTR2,ACRBP,ABHD12,ADIPOR1,ABCC4,ABHD12,ABCB7,ACAP2,ABHD12,ABCC5,ADIPOR2,ABHD11,ABHD17A,ACTR3,ABL2,ACSM2B,ACRBP,ADAMTS1,ABCC4,ABLIM3,ABLIM3,ABHD5,ABLIM3,ADIPOR2,ABI3BP,ADCYAP1,ADD3,ADGRG6,ADIPOR1,ADIPOR1,ACTN1,ADIPOR1,ABHD12,ABHD11,ABCC3,ACLY,ABCA5,ACAP2,ACAP2,ABL2,ACAP2,ACTR2,ABHD3,ACAP2,ACRBP,ABL2,ADIPOR1,ABL2,ABHD17A,ADD3,ADIPOR1,ADGRG6,ADAMTS1,ABLIM3,ACTR3,ACRBP,ABHD11,ADD3,AFAP1L2,ADIPOR1,ACLY,ABLIM3,ADIPOR1,ABCC5,ACTN1,ADGRL4,ADAMTS1,ADIPOR1,ADAMTS1,ABTB1,ABL2,ABCA10,ABLIM3,ABCA13,ACP5,ABCG1,ABHD3,ACRBP,ABLIM3,ABHD17A,ABCC5,ABCD4,ABHD5,ABCC4,ABHD3,ABCA5,ABL2,ABCC4,ABCC4,ABHD5,ABLIM1,ABLIM3,ABHD6,ABCG1,ABLIM3,ABHD11,ABLIM3,ABHD11,ACSL4,ACP2,ADAMTS1,ABLIM3,ABHD12,ADAMTS1,ABI3,ADIPOR2,ABHD3,ADD3,ACTR3,ABCB10,ABCA7,ADD3,ACAP2,ABCC3,ABHD3,ABL2,ABHD17A,ACTR3,ADA2,ABHD15,ABHD17A,AGPAT1,ABCC3,ABLIM3,ABCD4,ADGRL4,ACTR3,ADD3,ACRBP,ADD3,ADIPOR1,ABCD4,ACRBP,ACTR3,ADIPOR1,ABCB9,ADH1B,ABLIM3,ACLY,ABCA5,ACTR3,AASDH,ACTN1,ACTR2,ADD3,ACOT11,ABHD3,ACRBP,ABHD11,ACRBP,ACTN4,ADIPOR1,ABLIM1,ACTR3,ADIRF,ABHD12,ABL2,ABCD4,ABI3,ACTN1,ABCB9,ADAMTS1,ABHD12,AGPAT5,AGPAT5,ADGRG6
ABHD11,ABI3,ABCC3,ACTN4,ACTR2,AGPAT1,ADA2,ABCA5,ACTR3,ACTN1,ABHD5,ADIPOR2,ABCC5,ABHD13,ABCB8,ACCS,ABHD17A,ABHD11,ADIRF,ABHD12,ABHD3,ADAM28,ABLIM1,ACTN1,ACTC1,ADD3,ABCC5,ACAP2,ABTB1,ABLIM1,ABTB1,AGBL5,ABL2,ADIPOR1,ADIPOR1,ADIPOR1,ADIPOR2,ADIPOR2,ACTN4,ADIPOR2,ABHD17A,ABHD12,ABCC5,ACP1,ABCA8,ACLY,ACRBP,ABLIM1,ACLY,ACTR3,ABHD5,ACRBP,ACTN1,ABLIM1,AGPAT5,ABLIM1,ABHD3,ADGRL4,ADIPOR2,ADIPOR1,ADGRG6,ACAP2,ADGRL4,ACTN1,ABHD12,ADIPOR1,AGPAT1,AGTRAP,ACP1,ACAP2,AGPAT1,ABCG1,ACTN4,ADIPOR1,ADIPOR1,ADIPOR2,ADIPOR1,ACAP2,ABLIM1,ABCA2,ACAP2,ABCA2,ACRBP,ABHD11,ABHD5,ACTN1,ACAP2,ABHD3,ABCD4,ABHD12,ABL2,ABCC5,ABL2,ABCA6,ABLIM1,ABHD11,ABCC5,ABI3,ABLIM3,ACAP2,ABI3,ABHD12,ACAP2,ABHD12,ACAP2,ABHD12,ACSM2B,ACRBP,ADIPOR1,ACADVL,ABHD17A,ADAMTS9,ABL2,AGPAT1,ABHD5,ADGRG6,ADAMTS1,ABCB7,ABCA8,ADIPOR1,ACRBP,ABCC4,ABHD5,ABLIM1,ABHD3,ADA2,ADIPOR1,ABHD3,ABHD3,AGPAT5,ABCC4,ACAP2,ABHD11,ADIPOR1,ADAM28,ADGRG6,ACSM2B,ADGRL4,AGPAT5,ABHD11,ACSL1,ADAM28,ADIPOR2,ABCC10,ADIPOR1,ABRAXAS2,ACRBP,ABCA7,ADA2,AASDHPPT,ACTN4,ACTR3,ADGRL4,ACRBP,ABHD5,ACTN1,ABHD12,ACTN1,ACTR2,ADSL,ABLIM3,ADA2,ADPGK,ABHD17A,ABLIM1,ABCG1,ABL2,ACTR2,ABCC1,ADH1B,ABHD3,AKAP13,AHR,ADIPOR1
